,Username,Category,Followers,Followees,Posts,Level
8758,blogcalledjacq,fashion,9999,771,2117,Micro
8759,itslenatime,fashion,9998,675,635,Micro
8760,_sparnold_,fashion,9996,981,363,Micro
8761,ana.da.rocha,fashion,9994,811,1064,Micro
8762,thegarsowtwins,fashion,9993,1229,543,Micro
8763,takemebacktoparis,fashion,9992,2161,2008,Micro
8764,urbanizedfashion,fashion,9989,3706,498,Micro
8765,amanda_h_jones,fashion,9989,1441,1208,Micro
8766,aureliablog,fashion,9985,3632,1169,Micro
8767,jessicalynnmartin_,fashion,9981,2464,979,Micro
8768,enerianna,fashion,9979,860,2233,Micro
8769,lynnettejoselly,fashion,9974,905,1778,Micro
8770,wilderbiralpage,fashion,9972,765,378,Micro
8771,sheybonillamodel,fashion,9971,2479,805,Micro
8772,missflavia_,fashion,9970,996,242,Micro
8773,wearskelly,fashion,9968,994,1434,Micro
8774,ciaobellafran,fashion,9968,1340,323,Micro
8775,jjacqueline___,fashion,9968,570,323,Micro
8776,erikacaroliina,fashion,9966,993,2637,Micro
8777,boutique.seventeen,fashion,9964,409,439,Micro
8778,emmacatherine09,fashion,9963,401,314,Micro
8779,alejandro__calvo,fashion,9963,996,260,Micro
8780,sophiestrails,fashion,9954,2720,432,Micro
8781,melissamandula,fashion,9948,748,1286,Micro
8782,carolinenicodemus,fashion,9941,1137,642,Micro
8783,charlottestrong,fashion,9933,2796,568,Micro
8784,chanellespivak,fashion,9926,2560,305,Micro
8785,mk_fllo,fashion,9923,3311,391,Micro
8786,lai_tiffany,fashion,9922,747,738,Micro
8787,rachelnorstrom,fashion,9920,5052,201,Micro
8788,aluiza__,fashion,9919,916,1496,Micro
8789,riohooper,fashion,9919,522,761,Micro
8790,jessica_vanheerden,fashion,9912,879,922,Micro
8791,fashiontimes.it,fashion,9895,1492,2208,Micro
8792,reaganmbernard,fashion,9895,670,376,Micro
8793,xlaurengregoryx,fashion,9893,692,468,Micro
8794,curlsandcontours,fashion,9891,1716,940,Micro
8795,chicandcheaplifestyles,fashion,9882,1280,396,Micro
8796,trendy.dianou,fashion,9882,1086,1218,Micro
8797,chiara_conte_singerviolinist,fashion,9852,1813,961,Micro
8798,thedelilahblog,fashion,9847,1585,957,Micro
8799,sefalimahida,fashion,9845,93,458,Micro
8800,vogue.pk,fashion,9833,643,2594,Micro
8801,fabeautrends,fashion,9829,593,949,Micro
8802,thoughtfulwish,fashion,9825,1989,1419,Micro
8803,canaldabianca,fashion,9824,383,373,Micro
8804,nicolss,fashion,9822,476,592,Micro
8805,natlovesthat,fashion,9821,1348,712,Micro
8806,avec_mac,fashion,9818,991,371,Micro
8807,annaliesedayes,fashion,9812,1806,747,Micro
8808,zacdeck,fashion,9810,214,969,Micro
8809,torrisunshine,fashion,9806,1929,1394,Micro
8810,benjamindiedering,fashion,9801,1781,701,Micro
8811,sostyles,fashion,9801,1108,478,Micro
8812,cassandramarouki,fashion,9798,479,226,Micro
8813,homeofstars,fashion,9797,2480,1685,Micro
8814,juliacabanblog,fashion,9786,467,1145,Micro
8815,bysuellenmandu,fashion,9772,1714,730,Micro
8816,funkyflairboutique,fashion,9771,2904,5025,Micro
8817,team2ramos,fashion,9765,553,1630,Micro
8818,janaaasland,fashion,9756,978,424,Micro
8819,haayyllleeyy,fashion,9756,2397,497,Micro
8820,chelseaeve_templeton,fashion,9747,2970,1596,Micro
8821,asmammalek,fashion,9746,379,642,Micro
8822,mattlummus,fashion,9732,1779,2646,Micro
8823,eclectickurves,fashion,9731,985,930,Micro
8824,thenikkistandard,fashion,9730,782,707,Micro
8825,__y___u_,fashion,9728,533,210,Micro
8826,ally_bing,fashion,9727,262,1041,Micro
8827,miloutjioe,fashion,9724,728,774,Micro
8828,mattiapallozzi,fashion,9710,2425,719,Micro
8829,mrssaripalli,fashion,9709,1283,1014,Micro
8830,ivoblog,fashion,9705,699,918,Micro
8831,runwayribbons,fashion,9697,440,1024,Micro
8832,hinikki,fashion,9696,972,789,Micro
8833,goldwilldigger,fashion,9676,1356,638,Micro
8834,jessicavaughn4,fashion,9676,2146,8310,Micro
8835,everydaywithkblog,fashion,9671,1863,530,Micro
8836,lvtrendy_style,fashion,9660,750,859,Micro
8837,juliettiful,fashion,9650,1161,1423,Micro
8838,ami__yone,fashion,9646,339,323,Micro
8839,andislist,fashion,9631,4919,815,Micro
8840,valentynaap,fashion,9629,1172,605,Micro
8841,jadevanrielx,fashion,9629,1807,352,Micro
8842,littlelouvain,fashion,9625,1495,1539,Micro
8843,aleestang,fashion,9624,1717,335,Micro
8844,withdesireebella,fashion,9623,681,1704,Micro
8845,aluisalopes,fashion,9622,743,886,Micro
8846,saracruden,fashion,9619,148,692,Micro
8847,_thestylegen_,fashion,9612,471,472,Micro
8848,mellotune,fashion,9605,382,390,Micro
8849,mccall.mitchell,fashion,9601,854,475,Micro
8850,maritaboteroc,fashion,9600,2559,1670,Micro
8851,xojunexo,fashion,9599,509,630,Micro
8852,amandathompsonbowlds,fashion,9589,2401,601,Micro
8853,simplybychar,fashion,9589,942,865,Micro
8854,deborah_arizmendi,fashion,9588,4062,2426,Micro
8855,byamyly,fashion,9586,1539,449,Micro
8856,2ericbecerra,fashion,9578,6559,485,Micro
8857,arrowsandawe,fashion,9576,1187,570,Micro
8858,g.gamzekoc,fashion,9573,775,387,Micro
8859,polina.yg,fashion,9568,841,773,Micro
8860,_johnjarrett,fashion,9567,1187,1113,Micro
8861,1beautiful_t,fashion,9567,607,766,Micro
8862,thisismjg,fashion,9562,1294,1354,Micro
8863,denahuys,fashion,9562,1371,1297,Micro
8864,d_watso,fashion,9559,1074,6736,Micro
8865,literallyyg,fashion,9551,1173,2243,Micro
8866,bobbyschuessler,fashion,9550,1234,1695,Micro
8867,deliasfaison,fashion,9540,836,698,Micro
8868,sweetsauceblog,fashion,9539,4623,1819,Micro
8869,thestreetstyler_,fashion,9533,3124,1189,Micro
8870,madisonriding,fashion,9531,1057,339,Micro
8871,justebti,fashion,9524,2840,1408,Micro
8872,imperfectlysarah,fashion,9521,859,804,Micro
8873,iam_usamaa,fashion,9512,1026,285,Micro
8874,alinaandrose,fashion,9510,2605,474,Micro
8875,katieteutphoto,fashion,9509,7462,1328,Micro
8876,yoloryn,fashion,9506,715,528,Micro
8877,biancaxxfranco,fashion,9504,937,461,Micro
8878,getonmychic,fashion,9503,2306,377,Micro
8879,swdmagazine,fashion,9497,928,2124,Micro
8880,ritaibribeiro,fashion,9496,1056,340,Micro
8881,yuipiii721,fashion,9490,283,864,Micro
8882,mealia_c,fashion,9489,2835,524,Micro
8883,gracebelle,fashion,9483,1533,1288,Micro
8884,stephanie.merhi,fashion,9469,2026,2702,Micro
8885,theingenue,fashion,9463,1076,2312,Micro
8886,antoinettefrances,fashion,9458,815,1050,Micro
8887,lisa.m.aria,fashion,9457,602,306,Micro
8888,katia_schz,fashion,9442,2370,651,Micro
8889,stylish_page_vianey,fashion,9439,474,952,Micro
8890,bro0ketini,fashion,9436,966,787,Micro
8891,kristine_janice,fashion,9436,1602,453,Micro
8892,astylishcloset,fashion,9427,1441,852,Micro
8893,rebeccalately,fashion,9424,543,1861,Micro
8894,in_the_fifties,fashion,9423,631,273,Micro
8895,thoniabankz,fashion,9416,695,415,Micro
8896,heyaimeenicole,fashion,9412,2419,651,Micro
8897,thaisla_munique,fashion,9405,3251,674,Micro
8898,anameliapolanco,fashion,9404,258,608,Micro
8899,mariasagvik,fashion,9399,954,1026,Micro
8900,kendramcleish,fashion,9395,1303,373,Micro
8901,typicallyjane,fashion,9393,1723,2781,Micro
8902,styleoperator,fashion,9383,535,1905,Micro
8903,josettepimenta,fashion,9381,1077,303,Micro
8904,gabymthemodel,fashion,9380,1235,1361,Micro
8905,helenespilling,fashion,9372,3679,803,Micro
8906,wanderstylust,fashion,9371,1822,215,Micro
8907,britneyspear.s,fashion,9369,515,2206,Micro
8908,chanellealyssa,fashion,9354,366,658,Micro
8909,sistagram_____,fashion,9353,6470,274,Micro
8910,valeriehelton,fashion,9347,2207,530,Micro
8911,saralobben,fashion,9345,2345,737,Micro
8912,annikakotrc,fashion,9341,1004,306,Micro
8913,agypsyinthecity,fashion,9340,3221,340,Micro
8914,ashleybenfit,fashion,9337,327,869,Micro
8915,samknupp,fashion,9328,1306,486,Micro
8916,brookembastress,fashion,9324,2474,957,Micro
8917,spirossavvinos,fashion,9323,2068,3114,Micro
8918,yuliyamir1,fashion,9321,316,771,Micro
8919,verovlogs,fashion,9317,3779,1047,Micro
8920,eunique_kollection,fashion,9302,1538,323,Micro
8921,thetailoredolive,fashion,9299,2432,484,Micro
8922,monicareneewarren,fashion,9296,3982,909,Micro
8923,chalondawebbdotcom,fashion,9292,877,459,Micro
8924,winnie.odande,fashion,9287,1349,916,Micro
8925,evinalepotilnica,fashion,9283,207,432,Micro
8926,patrickrbrandao,fashion,9280,904,257,Micro
8927,writeslikeagirl,fashion,9277,2507,2106,Micro
8928,catherinevanboeckel,fashion,9261,2489,615,Micro
8929,jensyngagne,fashion,9254,1441,435,Micro
8930,diclassicx,fashion,9252,192,290,Micro
8931,lajeune,fashion,9251,546,873,Micro
8932,angeliqueemmanuelle,fashion,9235,561,544,Micro
8933,melissahendershot,fashion,9233,3977,1203,Micro
8934,blingaholic88,fashion,9230,5070,1517,Micro
8935,jaoujaou,fashion,9229,566,355,Micro
8936,britniekaplan,fashion,9210,409,887,Micro
8937,tiffycrazycool,fashion,9198,1127,497,Micro
8938,kameronmonet,fashion,9197,876,802,Micro
8939,thallyacordeiro,fashion,9191,1046,327,Micro
8940,thestylishmommy,fashion,9187,1179,1200,Micro
8941,ayaimamura,fashion,9187,391,1956,Micro
8942,van_schoen,fashion,9186,6801,450,Micro
8943,hakamme,fashion,9185,3129,808,Micro
8944,eddyleisyfigaro,fashion,9182,446,627,Micro
8945,zhureta,fashion,9182,638,526,Micro
8946,savannah.ashley,fashion,9180,3158,2325,Micro
8947,megan_caddy,fashion,9176,2828,737,Micro
8948,valentorya,fashion,9175,345,410,Micro
8949,anaflaviamuniz,fashion,9169,1358,579,Micro
8950,gabrielmagazine,fashion,9166,287,2183,Micro
8951,cronicasgermanicas,fashion,9166,709,3220,Micro
8952,carolinemcelroystylist,fashion,9157,593,632,Micro
8953,nicolexkat,fashion,9152,645,734,Micro
8954,brittanyjjones,fashion,9148,1113,526,Micro
8955,charitylikesbeards,fashion,9140,142,1951,Micro
8956,jankatopanka,fashion,9130,999,1753,Micro
8957,yuuukikiyo,fashion,9130,635,464,Micro
8958,talitadestefani,fashion,9122,479,3761,Micro
8959,lucygillett1993,fashion,9121,703,356,Micro
8960,yourunicornbabe,fashion,9117,209,931,Micro
8961,chocolateismyvice,fashion,9114,1327,383,Micro
8962,jennaleeannllc,fashion,9110,3472,561,Micro
8963,street_madonna,fashion,9107,1972,375,Micro
8964,metukteket,fashion,9107,1427,715,Micro
8965,msjessicastyle,fashion,9103,554,1452,Micro
8966,juribeiro,fashion,9102,747,444,Micro
8967,fromevelynsheart,fashion,9078,2292,2221,Micro
8968,blognatirios,fashion,9072,6986,391,Micro
8969,foxxtailz,fashion,9066,497,1666,Micro
8970,stylehercloset,fashion,9065,226,363,Micro
8971,jesslemos,fashion,9058,217,1697,Micro
8972,itfashion,fashion,9043,1437,2667,Micro
8973,ambermiller9,fashion,9042,2206,323,Micro
8974,spiffycliffy,fashion,9030,1880,1367,Micro
8975,sideofglam,fashion,9028,2520,347,Micro
8976,kyriskat,fashion,9026,361,502,Micro
8977,romy.simona,fashion,9024,642,496,Micro
8978,ronhill,fashion,9020,2002,517,Micro
8979,dashaneith,fashion,9017,1949,326,Micro
8980,thatsaleaf,fashion,9015,750,915,Micro
8981,annakalvatn,fashion,9006,900,297,Micro
8982,premiere_dame_look,fashion,9002,398,218,Micro
8983,asos_elizabeth,fashion,9000,199,434,Micro
8984,nuriam_vilaca,fashion,8992,1454,888,Micro
8985,tamarmor,fashion,8992,1952,815,Micro
8986,lifeeoflo,fashion,8985,1085,472,Micro
8987,lifestylemavens,fashion,8980,873,2060,Micro
8988,falloverfashion,fashion,8979,629,433,Micro
8989,melissad_uk,fashion,8962,539,1109,Micro
8990,tania_argent,fashion,8945,2014,935,Micro
8991,myvioletdelights,fashion,8941,1817,777,Micro
8992,heyitsryleehall,fashion,8935,231,2000,Micro
8993,natsuklllll,fashion,8932,448,923,Micro
8994,fab_lane21,fashion,8927,1119,353,Micro
8995,by.malka,fashion,8923,469,442,Micro
8996,5oclocksunday,fashion,8923,2881,933,Micro
8997,travelinghoppy,fashion,8914,846,496,Micro
8998,thefashionchair,fashion,8905,3175,664,Micro
8999,suomelasonja,fashion,8897,153,1137,Micro
9000,thebrowneyedkid,fashion,8894,229,298,Micro
9001,voguishandcalamity,fashion,8892,1318,904,Micro
9002,alexemichaud,fashion,8886,626,752,Micro
9003,nessabransan,fashion,8886,1962,1223,Micro
9004,dj_gigola,fashion,8886,795,339,Micro
9005,elcofrebliaman,fashion,8882,878,1906,Micro
9006,beingmrsfowler,fashion,8881,1347,2518,Micro
9007,victoriaxstyle,fashion,8880,920,371,Micro
9008,givemeallthepretties,fashion,8877,271,535,Micro
9009,hugrunegils,fashion,8875,888,759,Micro
9010,britain_bennett,fashion,8873,602,364,Micro
9011,alannamcnally,fashion,8870,1118,864,Micro
9012,annapantarei,fashion,8869,1670,1426,Micro
9013,zaatina_z,fashion,8868,214,380,Micro
9014,sasarisa0110,fashion,8854,1737,1397,Micro
9015,stylingbyanh,fashion,8853,914,912,Micro
9016,bbdance17,fashion,8842,567,1001,Micro
9017,thewaytomyhart,fashion,8841,3154,1569,Micro
9018,jasuuu,fashion,8837,814,313,Micro
9019,robineblickman,fashion,8832,985,257,Micro
9020,stefy.ste.52,fashion,8832,385,1314,Micro
9021,marinela_marku,fashion,8830,3072,281,Micro
9022,rafael_esteiotur,fashion,8826,4768,2188,Micro
9023,saraicetea,fashion,8814,2859,361,Micro
9024,simkosays,fashion,8813,1689,1884,Micro
9025,fashionbeautyed,fashion,8810,1318,1291,Micro
9026,centralfloridabelle,fashion,8809,2833,827,Micro
9027,fatima_domingush,fashion,8806,1006,993,Micro
9028,miry19941,fashion,8801,7435,1896,Micro
9029,lipstickandsparkle,fashion,8798,4165,665,Micro
9030,nadi.ct,fashion,8797,425,367,Micro
9031,mathildalacannelle,fashion,8796,279,698,Micro
9032,alexxcoll,fashion,8790,1788,577,Micro
9033,myazurelife,fashion,8788,524,544,Micro
9034,mariavittoriamontich,fashion,8787,2031,962,Micro
9035,loveleighlove,fashion,8783,3879,1160,Micro
9036,trulyjamie,fashion,8777,3532,999,Micro
9037,laurelryser,fashion,8775,500,586,Micro
9038,yvonne_vage,fashion,8767,462,607,Micro
9039,my.stylinglife,fashion,8765,1763,321,Micro
9040,johannahelga9,fashion,8764,899,812,Micro
9041,alessiadrinklipstick,fashion,8752,997,1079,Micro
9042,blacc_velvett,fashion,8744,2851,248,Micro
9043,miramargaret,fashion,8744,2810,851,Micro
9044,thesarakhalil,fashion,8737,1089,1341,Micro
9045,eiderdprado,fashion,8735,833,969,Micro
9046,seekaxiom,fashion,8722,987,790,Micro
9047,tarynnalexa,fashion,8720,934,894,Micro
9048,msjuicyy,fashion,8715,1330,3144,Micro
9049,malanghi,fashion,8713,2105,695,Micro
9050,nhougaard,fashion,8710,874,498,Micro
9051,linnodman,fashion,8705,646,1394,Micro
9052,_addiejones,fashion,8702,3488,394,Micro
9053,thesparkleofjoy,fashion,8694,1794,946,Micro
9054,saraavenneri,fashion,8693,733,267,Micro
9055,janiyawalker,fashion,8687,1681,969,Micro
9056,flafavro,fashion,8681,3687,449,Micro
9057,miss_danielv,fashion,8681,633,438,Micro
9058,brittanybzucker,fashion,8679,3908,6926,Micro
9059,meganmccoig,fashion,8671,983,868,Micro
9060,walibel,fashion,8664,918,1287,Micro
9061,blogbynoelle,fashion,8662,997,955,Micro
9062,dressedfortime,fashion,8655,3394,1635,Micro
9063,chadmombeauty,fashion,8647,1945,1332,Micro
9064,naturallyfarout,fashion,8644,742,488,Micro
9065,theatre_of_reallife,fashion,8643,6907,288,Micro
9066,pr1ncessl1a,fashion,8640,922,934,Micro
9067,itsjustinesjournal,fashion,8629,592,878,Micro
9068,aysegulec97,fashion,8620,431,693,Micro
9069,angelinapiro,fashion,8618,809,496,Micro
9070,sea_greene_,fashion,8618,1183,2703,Micro
9071,somethingweseek,fashion,8616,1306,593,Micro
9072,henni.kristin,fashion,8611,901,449,Micro
9073,elisabethvda,fashion,8610,681,421,Micro
9074,danijackel,fashion,8607,965,363,Micro
9075,elisasamaral,fashion,8603,1624,1844,Micro
9076,hannahlinaa,fashion,8602,645,483,Micro
9077,savvyou,fashion,8597,752,447,Micro
9078,lorealjonesimage,fashion,8593,731,670,Micro
9079,allierick,fashion,8586,2099,461,Micro
9080,dwalla10,fashion,8584,977,392,Micro
9081,alexandrabeuter,fashion,8583,885,873,Micro
9082,nursejakeluis,fashion,8583,1765,2830,Micro
9083,ryan_caruso,fashion,8582,992,503,Micro
9084,beaeks,fashion,8580,746,807,Micro
9085,the.stylehaus,fashion,8578,3010,361,Micro
9086,jeg_fashionblog,fashion,8573,1489,394,Micro
9087,livvrh,fashion,8573,1648,2330,Micro
9088,stephens_louisa,fashion,8570,56,549,Micro
9089,magdalenschkova,fashion,8566,1997,800,Micro
9090,cobbieyates,fashion,8555,3631,2032,Micro
9091,aquarius8588,fashion,8548,6078,484,Micro
9092,chy.forwardsoul,fashion,8544,998,540,Micro
9093,mariina.ram,fashion,8541,4197,305,Micro
9094,odaalamoda,fashion,8537,824,1035,Micro
9095,celebalore,fashion,8537,1249,4756,Micro
9096,vy.primozich,fashion,8525,2685,1042,Micro
9097,amberrosephoto,fashion,8523,898,3069,Micro
9098,raquelpueyo,fashion,8518,886,1162,Micro
9099,theglammood,fashion,8515,2978,1985,Micro
9100,samyuktarao,fashion,8514,485,344,Micro
9101,thatchicmom,fashion,8512,1438,4135,Micro
9102,theburbgirl,fashion,8506,1660,440,Micro
9103,gabrieladegraaf,fashion,8502,912,413,Micro
9104,live_lavishly_blog,fashion,8502,413,578,Micro
9105,sarahslifestylediary,fashion,8498,985,1657,Micro
9106,carmensegattini,fashion,8492,662,691,Micro
9107,lauren.pak,fashion,8490,927,643,Micro
9108,tashfunderburk,fashion,8489,2862,1060,Micro
9109,sunispretty,fashion,8480,815,1132,Micro
9110,insta_crone,fashion,8472,3623,340,Micro
9111,rebeccaarabella,fashion,8468,627,363,Micro
9112,daniela.lucia.weber,fashion,8463,851,314,Micro
9113,wefivekings,fashion,8460,7351,3463,Micro
9114,florianahoff,fashion,8459,738,674,Micro
9115,demimaric,fashion,8456,1451,1112,Micro
9116,dreamywalkhome,fashion,8450,3928,401,Micro
9117,madelineee_marieee13,fashion,8449,1070,833,Micro
9118,oripolito,fashion,8442,973,564,Micro
9119,heidicaterina,fashion,8437,453,341,Micro
9120,teresemalmberg,fashion,8437,289,413,Micro
9121,everydaestyle,fashion,8433,653,416,Micro
9122,suzziesuee,fashion,8418,968,297,Micro
9123,theultimatefashionista,fashion,8409,6996,1519,Micro
9124,kaleymcc,fashion,8407,798,1283,Micro
9125,julesvandeneynde,fashion,8406,1552,412,Micro
9126,hayearls,fashion,8404,2554,402,Micro
9127,lanadewulf,fashion,8400,373,546,Micro
9128,coleguinhasdebalsas,fashion,8399,1786,762,Micro
9129,ritchy_rizk,fashion,8399,25,6301,Micro
9130,crownsbyceleste,fashion,8398,2313,2760,Micro
9131,alessio.capizzi,fashion,8393,386,1727,Micro
9132,kathrynnicolaus,fashion,8389,998,801,Micro
9133,so_narly,fashion,8383,701,2218,Micro
9134,hellorobinsonstyle,fashion,8382,627,3301,Micro
9135,barbeemusic,fashion,8382,963,1876,Micro
9136,shenaeandrus,fashion,8381,522,320,Micro
9137,theomedit,fashion,8373,824,977,Micro
9138,brittanialexandra,fashion,8371,1293,362,Micro
9139,lenaksamuels,fashion,8370,3382,771,Micro
9140,kimmymarymackey,fashion,8366,997,2364,Micro
9141,theclosetconsultant,fashion,8365,2225,748,Micro
9142,jenniferwalcottfanclub,fashion,8358,256,1545,Micro
9143,lenanova__,fashion,8356,2772,2789,Micro
9144,to.thine.own.self.be.trill,fashion,8353,3117,635,Micro
9145,beautychick101,fashion,8352,977,2717,Micro
9146,mutaz_elneel,fashion,8352,1520,421,Micro
9147,kirstivaikla,fashion,8347,909,522,Micro
9148,geoteixeira,fashion,8343,1058,802,Micro
9149,c8flinkenberg,fashion,8341,545,3036,Micro
9150,viccmarini,fashion,8339,487,555,Micro
9151,laurencfitzgerald,fashion,8337,2900,490,Micro
9152,katelouiseblog,fashion,8335,717,3059,Micro
9153,tayaladame,fashion,8334,731,1466,Micro
9154,gracieaber,fashion,8333,991,401,Micro
9155,aimeerancer,fashion,8321,1421,2014,Micro
9156,miduyang,fashion,8319,1166,193,Micro
9157,laidbackandlavish,fashion,8317,489,194,Micro
9158,ybuzko,fashion,8316,169,2437,Micro
9159,fashionnestaa_,fashion,8309,1037,484,Micro
9160,jadri_gajic,fashion,8304,4940,1116,Micro
9161,michdedrie,fashion,8303,486,288,Micro
9162,clubforty.claire,fashion,8301,773,834,Micro
9163,himperiofitness,fashion,8299,4477,659,Micro
9164,kensley_atwell,fashion,8290,1177,255,Micro
9165,alivialevie,fashion,8290,968,558,Micro
9166,laurapjanis,fashion,8280,1148,599,Micro
9167,feliciamay00,fashion,8279,1083,325,Micro
9168,byeleanore,fashion,8276,861,604,Micro
9169,d.wojtas,fashion,8272,885,782,Micro
9170,restandriesling,fashion,8271,3268,330,Micro
9171,kobibrackenfromthelakers,fashion,8267,885,1258,Micro
9172,jucsilva,fashion,8267,3883,999,Micro
9173,tinibeltran,fashion,8255,1656,1069,Micro
9174,gioott,fashion,8254,2523,1338,Micro
9175,pearlsandtwirls,fashion,8251,1559,1984,Micro
9176,xmarlindeee,fashion,8243,2355,326,Micro
9177,ireninacris,fashion,8237,888,761,Micro
9178,easterndolce,fashion,8232,3355,261,Micro
9179,annabelizm,fashion,8232,1610,799,Micro
9180,thewastedblog,fashion,8232,657,352,Micro
9181,herz.mama,fashion,8231,235,693,Micro
9182,littlepieceofchic,fashion,8219,2334,877,Micro
9183,magical_pakistan,fashion,8213,373,259,Micro
9184,evakais_r,fashion,8206,615,914,Micro
9185,franhaining,fashion,8200,989,352,Micro
9186,fitfreedomlifestyle,fashion,8198,1044,347,Micro
9187,ashhtaylor,fashion,8198,1205,830,Micro
9188,intimateweddings,fashion,8195,4054,2732,Micro
9189,hildurmariaa,fashion,8194,1083,577,Micro
9190,lostluxe,fashion,8176,1054,716,Micro
9191,faith.fully.yours,fashion,8170,1336,525,Micro
9192,brittney_k,fashion,8168,2782,259,Micro
9193,heyjodeblog,fashion,8158,3310,438,Micro
9194,goldieplusmodel,fashion,8151,5565,353,Micro
9195,themiddlemama,fashion,8146,1839,996,Micro
9196,johannavizmanos,fashion,8145,1260,1283,Micro
9197,lebu_,fashion,8139,4589,3627,Micro
9198,justmaryum,fashion,8128,667,274,Micro
9199,thedaydreameruk,fashion,8115,962,5593,Micro
9200,missfely,fashion,8110,999,640,Micro
9201,ericmunson,fashion,8105,806,1286,Micro
9202,espressoandchanel,fashion,8104,5114,543,Micro
9203,elzasoko,fashion,8095,833,1651,Micro
9204,victoriasaccessories,fashion,8092,1623,2627,Micro
9205,duh.laney_,fashion,8090,1390,479,Micro
9206,thedailyte.a,fashion,8088,507,254,Micro
9207,himegaru,fashion,8083,680,375,Micro
9208,emmanuellepoumirol,fashion,8080,1137,1456,Micro
9209,alexispaigeb,fashion,8074,1509,1222,Micro
9210,thesunkissedlife_,fashion,8074,835,292,Micro
9211,taylorjoachim,fashion,8073,976,889,Micro
9212,emilybfahlsing,fashion,8070,998,870,Micro
9213,missmollymoon,fashion,8067,858,1042,Micro
9214,laurenanciaux,fashion,8062,1346,390,Micro
9215,mileepaz,fashion,8058,769,2163,Micro
9216,sheelachristyn,fashion,8056,632,644,Micro
9217,amy_daniels,fashion,8053,315,637,Micro
9218,angelikadoss,fashion,8051,6401,1984,Micro
9219,samanthamariko,fashion,8048,1814,3536,Micro
9220,chelseafenech,fashion,8047,482,406,Micro
9221,chrisylla10,fashion,8047,958,269,Micro
9222,abigaiilcomrie,fashion,8047,2364,645,Micro
9223,patricejwill,fashion,8044,679,2721,Micro
9224,karine_trudel,fashion,8042,456,360,Micro
9225,emmasevilles,fashion,8040,446,353,Micro
9226,scherziest,fashion,8040,288,1189,Micro
9227,_moni_angel_,fashion,8037,734,1735,Micro
9228,superagentju,fashion,8034,1083,1248,Micro
9229,jennifer.von.da.lutz,fashion,8013,556,540,Micro
9230,ema0218,fashion,8013,337,1175,Micro
9231,emilyjayneellis,fashion,8012,697,487,Micro
9232,thisisnoenvy,fashion,8008,1298,521,Micro
9233,elofancy,fashion,8007,787,1477,Micro
9234,victoriagblack,fashion,8006,1536,1056,Micro
9235,manuelatosin,fashion,8006,398,308,Micro
9236,tonbarbier,fashion,7999,999,1951,Micro
9237,samdeley,fashion,7998,1262,681,Micro
9238,ishootwhatever,fashion,7998,3996,825,Micro
9239,awadewego,fashion,7995,931,1430,Micro
9240,yasmin_hml,fashion,7994,746,237,Micro
9241,sweetjellybean5,fashion,7992,2097,2023,Micro
9242,michaeladartois,fashion,7985,1195,1167,Micro
9243,leahwillig,fashion,7980,3156,1027,Micro
9244,santo_dre,fashion,7979,923,329,Micro
